campaign_id,campaign_type,start_date,end_date,campaign_duration
24,Y,2013-10-21,2013-12-20,60
25,Y,2013-10-21,2013-11-22,32
20,Y,2013-07-09,2013-11-16,130
23,Y,2013-08-10,2013-11-15,97
21,Y,2013-09-16,2013-10-18,32
22,X,2013-09-16,2013-10-18,32
18,X,2013-10-08,2013-04-10,-181
19,Y,2013-08-26,2013-09-27,32
17,Y,2013-07-29,2013-08-30,32
16,Y,2013-07-15,2013-08-16,32
13,X,2013-05-19,2013-05-07,-12
11,Y,2013-04-22,2013-07-06,75
12,Y,2013-04-22,2013-05-24,32
10,Y,2013-08-04,2013-10-05,62
9,Y,2013-11-03,2013-12-04,31
8,X,2013-02-16,2013-05-04,77
7,Y,2013-02-02,2013-08-03,182
6,Y,2013-01-28,2013-01-03,-25
3,Y,2012-12-22,2013-02-16,56
5,Y,2013-12-01,2013-02-15,-289
4,Y,2013-07-01,2013-08-02,32
1,Y,2012-12-12,2013-01-18,37
2,Y,2012-12-17,2013-01-18,32
30,X,2012-11-19,2013-04-01,133
29,Y,2012-08-10,2012-11-30,112
28,Y,2012-09-16,2012-11-16,61
27,Y,2012-08-25,2012-10-27,63
26,X,2012-12-08,2012-09-21,-78
